no,longitude,latitude,desa,jumlah
1,109.340393,-7.464599,kalialang,1
2,109.352438,-7.404705,kalikabong,1
3,109.354307,-7.384548,purbalingga lor,1
4,109.353445,-7.3867897,purbalingga lor,1
5,109.529146,-7.319873,bantarbarang,1
6,109.356737,-7.369449,brobot,1
7,109.368957,-7.320777,kradenan,1
8,109.339455,-7.30379,bojong,1
9,109.354876,-7.379881,kembaran kulon,1
10,109.330042,-7.389385,karangjambe,1
11,109.324949,-7.390645,karangjambe,1
12,109.355125,-7.350561,bojongsari,1
13,109.449618,-7.41561,sokanegara,1
14,109.404175,-7.448427,tidu,1
15,109.403845,-7.448248,bukateja,1
16,109.466897,-7.322776,pekiringan,1
17,109.455477,-7.425875,penaruban,1
18,109.353322,-7.402828,kalikabong,1
19,109.525777,-7.360852,panunggalan,1
20,109.341954,-7.433392,rabak,1
21,109.411159,-7.305197,karanganyar,1
22,109.442624,-7.383824,sinduraja,1
23,109.320557,-7.277497,sangkanayu,1
